clip_name,event_start_frame,event_end_frame,severity
vid-(224),209,247,high
vid-(249),84,140,low
vid-(539),51,84,medium
vid-(136),18,45,low
vid-(117),25,36,medium
vid-(56),46,86,medium
vid-(373),92,137,low
vid-(189),70,114,medium
vid-(290),162,205,high
vid-(452),43,112,high
vid-(116),8,38,medium
vid-(541),40,62,low
vid-(505),61,110,medium
vid-(69),30,90,high
vid-(246),425,610,high
vid-(168),39,118,low
vid-(492),81,116,low
vid-(235),71,117,high
vid-(390),21,61,medium
vid-(315),50,85,low
vid-(103),19,61,high
vid-(420),120,175,low
vid-(201),28,100,medium
vid-(558),32,58,medium
vid-(338),51,74,high
vid-(193),75,90,medium
vid-(513),83,106,low
vid-(611),37,57,low
vid-(356),76,108,medium
vid-(300),19,29,high
vid-(98),14,80,high
vid-(591),50,107,low
vid-(57),27,64,medium
vid-(82),51,90,medium
vid-(231),633,662,medium
vid-(469),17,80,high
vid-(284),320,374,high
vid-(543),23,100,high
vid-(369),89,123,medium
vid-(293),425,487,high
vid-(64),21,70,low
vid-(557),26,85,high
vid-(349),52,110,high
vid-(333),152,201,medium
vid-(502),50,107,high
vid-(209),23,82,medium
vid-(239),253,305,high
vid-(583),54,94,medium
vid-(437),32,76,medium
vid-(361),59,85,medium
vid-(355),100,140,high
vid-(594),29,46,low
vid-(83),26,56,medium
vid-(377),32,82,medium
vid-(424),66,115,high
vid-(120),42,95,medium
vid-(462),70,102,medium
vid-(165),290,410,high
vid-(175),35,109,high
vid-(509),30,78,high
vid-(366),275,295,low
vid-(540),32,107,high
vid-(60),100,132,medium
vid-(504),46,78,high
vid-(524),20,54,medium
vid-(418),43,115,high
vid-(519),81,151,low
vid-(334),64,113,medium
vid-(65),48,80,medium
vid-(537),24,76,high
vid-(108),24,100,high
vid-(343),99,131,high
vid-(450),27,75,medium
vid-(204),12,32,low
vid-(434),49,75,medium
vid-(139),23,68,medium
vid-(599),28,40,low
vid-(453),29,80,high
vid-(89),40,78,medium
