clip_name,predicted_start_frame,predicted_end_frame,peak_frame_for_verification
vid-(224),215,247,231
vid-(249),36,68,52
vid-(539),40,72,56
vid-(136),48,80,64
vid-(117),0,23,7
vid-(56),59,91,75
vid-(373),74,106,90
vid-(189),45,77,61
vid-(290),223,255,239
vid-(452),35,67,51
vid-(116),0,29,13
vid-(541),209,241,225
vid-(505),77,109,93
vid-(9),0,21,5
vid-(69),53,85,69
vid-(246),1308,1340,1324
vid-(168),39,71,55
vid-(492),69,101,85
vid-(235),710,742,726
vid-(390),29,61,45
vid-(315),5,37,21
vid-(103),0,31,15
vid-(420),84,116,100
vid-(18),70,102,86
vid-(201),78,110,94
vid-(558),0,24,8
vid-(338),38,70,54
vid-(193),96,128,112
vid-(513),115,147,131
vid-(611),71,103,87
vid-(356),76,108,92
vid-(300),4,36,20
vid-(26),60,92,76
vid-(98),36,68,52
vid-(591),21,53,37
vid-(57),0,25,9
vid-(23),69,101,85
vid-(82),48,80,64
vid-(231),630,662,646
vid-(469),11,43,27
vid-(284),1283,1315,1299
vid-(543),45,77,61
vid-(369),70,102,86
vid-(293),466,498,482
vid-(64),49,81,65
vid-(557),3,35,19
vid-(349),52,84,68
vid-(333),0,29,13
vid-(502),124,156,140
vid-(209),8,40,24
vid-(239),260,292,276
vid-(583),103,135,119
vid-(437),15,47,31
vid-(361),37,69,53
vid-(29),48,80,64
vid-(355),25,57,41
vid-(594),0,22,6
vid-(12),0,28,12
vid-(83),14,46,30
vid-(377),54,86,70
vid-(424),170,202,186
vid-(40),16,48,32
vid-(120),16,48,32
vid-(462),70,102,86
vid-(165),350,382,366
vid-(175),37,69,53
vid-(509),46,78,62
vid-(366),196,228,212
vid-(540),89,121,105
vid-(60),100,132,116
vid-(504),46,78,62
vid-(524),42,74,58
vid-(418),27,59,43
vid-(519),101,133,117
vid-(334),63,95,79
vid-(65),48,80,64
vid-(537),32,64,48
vid-(108),69,101,85
vid-(343),66,98,82
vid-(450),41,73,57
vid-(204),0,28,12
vid-(434),27,59,43
vid-(139),17,49,33
vid-(599),13,45,29
vid-(4),151,183,167
vid-(453),62,94,78
vid-(41),5,37,21
vid-(35),52,84,68
